****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=6.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 151x16103
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.78	Loglikelihood: -1.13219e+06	(delta): 1.70936e+06
47 (QN/Block) 	Elapsed: 1.84	Loglikelihood: -1.01843e+06	(delta): 0.852652
48 (QN/Block) 	Elapsed: 1.752	Loglikelihood: -1.01843e+06	(delta): 0.692561
49 (QN/Block) 	Elapsed: 1.813	Loglikelihood: -1.01843e+06	(delta): 1.37557
50 (QN/Block) 	Elapsed: 1.622	Loglikelihood: -1.01843e+06	(delta): 1.62923
51 (QN/Block) 	Elapsed: 1.528	Loglikelihood: -1.01843e+06	(delta): 1.6154
52 (QN/Block) 	Elapsed: 1.639	Loglikelihood: -1.01842e+06	(delta): 4.92429
53 (QN/Block) 	Elapsed: 1.917	Loglikelihood: -1.01841e+06	(delta): 7.42115
54 (QN/Block) 	Elapsed: 1.925	Loglikelihood: -1.01841e+06	(delta): 5.97404
55 (QN/Block) 	Elapsed: 1.872	Loglikelihood: -1.01839e+06	(delta): 18.9821
56 (QN/Block) 	Elapsed: 1.674	Loglikelihood: -1.01836e+06	(delta): 26.3945
57 (QN/Block) 	Elapsed: 1.539	Loglikelihood: -1.01834e+06	(delta): 22.0009
58 (QN/Block) 	Elapsed: 1.423	Loglikelihood: -1.01833e+06	(delta): 14.8401
59 (QN/Block) 	Elapsed: 1.632	Loglikelihood: -1.01831e+06	(delta): 13.6063
60 (QN/Block) 	Elapsed: 1.463	Loglikelihood: -1.01831e+06	(delta): 2.92202
61 (QN/Block) 	Elapsed: 1.747	Loglikelihood: -1.01831e+06	(delta): 2.67333
62 (QN/Block) 	Elapsed: 1.711	Loglikelihood: -1.0183e+06	(delta): 1.6557
63 (QN/Block) 	Elapsed: 1.663	Loglikelihood: -1.0183e+06	(delta): 0.623732
64 (QN/Block) 	Elapsed: 1.486	Loglikelihood: -1.0183e+06	(delta): 0.254181
65 (QN/Block) 	Elapsed: 1.63	Loglikelihood: -1.0183e+06	(delta): 0.406565
66 (QN/Block) 	Elapsed: 1.682	Loglikelihood: -1.0183e+06	(delta): 0.830001
67 (QN/Block) 	Elapsed: 1.846	Loglikelihood: -1.0183e+06	(delta): 1.03911
68 (QN/Block) 	Elapsed: 1.907	Loglikelihood: -1.0183e+06	(delta): 0.690844
69 (QN/Block) 	Elapsed: 1.883	Loglikelihood: -1.0183e+06	(delta): 1.59957
70 (QN/Block) 	Elapsed: 1.856	Loglikelihood: -1.0183e+06	(delta): 0.863516
71 (QN/Block) 	Elapsed: 1.886	Loglikelihood: -1.0183e+06	(delta): 1.0454
72 (QN/Block) 	Elapsed: 1.921	Loglikelihood: -1.0183e+06	(delta): 1.02738
73 (QN/Block) 	Elapsed: 1.79	Loglikelihood: -1.0183e+06	(delta): 0.288251
74 (QN/Block) 	Elapsed: 1.71	Loglikelihood: -1.0183e+06	(delta): 0.229433
75 (QN/Block) 	Elapsed: 1.884	Loglikelihood: -1.0183e+06	(delta): 0.14552
76 (QN/Block) 	Elapsed: 1.794	Loglikelihood: -1.0183e+06	(delta): 0.169737
77 (QN/Block) 	Elapsed: 1.717	Loglikelihood: -1.0183e+06	(delta): 0.232359
78 (QN/Block) 	Elapsed: 1.811	Loglikelihood: -1.01829e+06	(delta): 1.29478
79 (QN/Block) 	Elapsed: 1.834	Loglikelihood: -1.01829e+06	(delta): 0.345609
80 (QN/Block) 	Elapsed: 1.91	Loglikelihood: -1.01829e+06	(delta): 0.300262
81 (QN/Block) 	Elapsed: 1.88	Loglikelihood: -1.01829e+06	(delta): 0.366909
82 (QN/Block) 	Elapsed: 1.815	Loglikelihood: -1.01829e+06	(delta): 0.519545
83 (QN/Block) 	Elapsed: 1.796	Loglikelihood: -1.01829e+06	(delta): 0.734666
84 (QN/Block) 	Elapsed: 1.779	Loglikelihood: -1.01829e+06	(delta): 0.701233
85 (QN/Block) 	Elapsed: 1.66	Loglikelihood: -1.01829e+06	(delta): 0.0788477
86 (QN/Block) 	Elapsed: 1.607	Loglikelihood: -1.01829e+06	(delta): 0.0331139
87 (QN/Block) 	Elapsed: 1.607	Loglikelihood: -1.01829e+06	(delta): 0.0165944
88 (QN/Block) 	Elapsed: 1.556	Loglikelihood: -1.01829e+06	(delta): 0.00959599
89 (QN/Block) 	Elapsed: 1.565	Loglikelihood: -1.01829e+06	(delta): 0.0114121
90 (QN/Block) 	Elapsed: 1.584	Loglikelihood: -1.01829e+06	(delta): 0.00669854
91 (QN/Block) 	Elapsed: 1.565	Loglikelihood: -1.01829e+06	(delta): 0.0102237
92 (QN/Block) 	Elapsed: 1.588	Loglikelihood: -1.01829e+06	(delta): 0.0140619
93 (QN/Block) 	Elapsed: 1.768	Loglikelihood: -1.01829e+06	(delta): 0.00650893
94 (QN/Block) 	Elapsed: 1.761	Loglikelihood: -1.01829e+06	(delta): 0.00732872
95 (QN/Block) 	Elapsed: 1.722	Loglikelihood: -1.01829e+06	(delta): 0.0080188
96 (QN/Block) 	Elapsed: 1.749	Loglikelihood: -1.01829e+06	(delta): 0.00847984
97 (QN/Block) 	Elapsed: 1.856	Loglikelihood: -1.01829e+06	(delta): 0.00889223
98 (QN/Block) 	Elapsed: 1.826	Loglikelihood: -1.01829e+06	(delta): 0.00987102
99 (QN/Block) 	Elapsed: 1.858	Loglikelihood: -1.01829e+06	(delta): 0.0115374
100 (QN/Block) 	Elapsed: 1.839	Loglikelihood: -1.01829e+06	(delta): 0.0133881
101 (QN/Block) 	Elapsed: 1.784	Loglikelihood: -1.01829e+06	(delta): 0.0161755
102 (QN/Block) 	Elapsed: 1.8	Loglikelihood: -1.01829e+06	(delta): 0.0225068
103 (QN/Block) 	Elapsed: 1.778	Loglikelihood: -1.01829e+06	(delta): 0.0333378
104 (QN/Block) 	Elapsed: 1.798	Loglikelihood: -1.01829e+06	(delta): 0.053035
105 (QN/Block) 	Elapsed: 1.939	Loglikelihood: -1.01829e+06	(delta): 0.0849337
106 (QN/Block) 	Elapsed: 1.859	Loglikelihood: -1.01829e+06	(delta): 0.160673
107 (QN/Block) 	Elapsed: 1.828	Loglikelihood: -1.01829e+06	(delta): 0.354553
108 (QN/Block) 	Elapsed: 1.787	Loglikelihood: -1.01829e+06	(delta): 0.891542
109 (QN/Block) 	Elapsed: 1.819	Loglikelihood: -1.01829e+06	(delta): 2.75093
110 (QN/Block) 	Elapsed: 1.803	Loglikelihood: -1.01828e+06	(delta): 8.59747
111 (QN/Block) 	Elapsed: 1.744	Loglikelihood: -1.01828e+06	(delta): 2.27309
112 (QN/Block) 	Elapsed: 1.574	Loglikelihood: -1.01828e+06	(delta): 0.0639484
113 (QN/Block) 	Elapsed: 1.777	Loglikelihood: -1.01828e+06	(delta): 0.0585074
114 (QN/Block) 	Elapsed: 1.8	Loglikelihood: -1.01828e+06	(delta): 0.0434601
115 (QN/Block) 	Elapsed: 1.727	Loglikelihood: -1.01828e+06	(delta): 0.053271
116 (QN/Block) 	Elapsed: 1.771	Loglikelihood: -1.01828e+06	(delta): 0.055663
117 (QN/Block) 	Elapsed: 1.795	Loglikelihood: -1.01828e+06	(delta): 0.181406
118 (QN/Block) 	Elapsed: 1.78	Loglikelihood: -1.01828e+06	(delta): 0.0941509
119 (QN/Block) 	Elapsed: 1.756	Loglikelihood: -1.01828e+06	(delta): 0.0743085
120 (QN/Block) 	Elapsed: 1.775	Loglikelihood: -1.01827e+06	(delta): 0.192649
121 (QN/Block) 	Elapsed: 1.809	Loglikelihood: -1.01827e+06	(delta): 0.265932
122 (QN/Block) 	Elapsed: 1.847	Loglikelihood: -1.01827e+06	(delta): 0.227886
123 (QN/Block) 	Elapsed: 1.878	Loglikelihood: -1.01827e+06	(delta): 0.425154
124 (QN/Block) 	Elapsed: 1.845	Loglikelihood: -1.01827e+06	(delta): 1.07215
125 (QN/Block) 	Elapsed: 1.846	Loglikelihood: -1.01827e+06	(delta): 3.84757
126 (QN/Block) 	Elapsed: 1.819	Loglikelihood: -1.01826e+06	(delta): 12.2538
127 (QN/Block) 	Elapsed: 1.849	Loglikelihood: -1.01826e+06	(delta): 1.23068
128 (QN/Block) 	Elapsed: 1.648	Loglikelihood: -1.01826e+06	(delta): 0.0462247
129 (QN/Block) 	Elapsed: 1.661	Loglikelihood: -1.01826e+06	(delta): 0.00820664
130 (QN/Block) 	Elapsed: 1.843	Loglikelihood: -1.01826e+06	(delta): 0.00179547
131 (QN/Block) 	Elapsed: 1.797	Loglikelihood: -1.01826e+06	(delta): 0.000829668
132 (QN/Block) 	Elapsed: 1.776	Loglikelihood: -1.01826e+06	(delta): 0.00013623
133 (QN/Block) 	Elapsed: 1.668	Loglikelihood: -1.01826e+06	(delta): 0.000105864
134 (QN/Block) 	Elapsed: 1.608	Loglikelihood: -1.01826e+06	(delta): 1.69602e-05
Summary: 
Converged in 134 iterations (247.929 sec)
Loglikelihood: -1018255.562157
Fst divergences between estimated populations: 
	Pop0	Pop1	Pop2	
Pop0	
Pop1	0.037	
Pop2	0.041	0.046	
Pop3	0.039	0.043	0.047	
CV error (K=4): 0.45215
Writing output files.
